timestamp,raw_text,engine_input,prediction,prediction_int,confidence,entropy_flag,top_drivers
2026-02-01 19:21:55,How are you? ,How are you?  ,Negative,0,0.5246,High Ambiguity,you|are
2026-02-01 19:22:04,i love you ,i love you  ,Positive,1,0.6807,Clear Signal,you|love
2026-02-01 19:22:28,i hate you ,i hate you  ,Positive,1,0.6845,Clear Signal,you
2026-02-01 19:22:29,i hate you ,i hate you  ,Positive,1,0.6845,Clear Signal,you
2026-02-01 19:22:32,i hate this,i hate this ,Negative,0,0.5164,High Ambiguity,this
2026-02-01 19:22:42,i hate you,i hate you ,Positive,1,0.6845,Clear Signal,you
2026-02-01 19:27:11,i hate this,i hate this ,Negative,0,0.5164,High Ambiguity,this
2026-02-01 19:28:07,i hate this,i hate this ,Negative,0,0.5164,High Ambiguity,this
2026-02-01 19:29:20,i hate this,i hate this ,Negative,0,0.5164,High Ambiguity,this
2026-02-01 19:29:21,i hate this,i hate this ,Negative,0,0.5164,High Ambiguity,this
2026-02-01 19:30:53,tell me have you seen the marvelous breadfish? ,tell me have you seen the marvelous breadfish?  ,Positive,1,0.6191,Clear Signal,you|have|me
2026-02-01 20:01:16,cute! ,cute!  ,Negative,0,0.5,High Ambiguity,
2026-02-01 20:10:01,im dead 💀,im dead 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 20:10:22,i hate this 😭,i hate this 😭 😭😭😭😭😭,Negative,0,0.5164,High Ambiguity,this
2026-02-01 20:10:41,this is the best 😭,this is the best 😭 😭😭😭😭😭,Negative,0,0.6082,Clear Signal,is|this is|the
2026-02-01 20:11:18,i love this 😭,i love this 😭 😭😭😭😭😭,Positive,1,0.5723,High Ambiguity,love|this
2026-02-01 20:11:32,this is the best! 😍,this is the best! 😍 😍😍😍😍😍,Negative,0,0.6082,Clear Signal,is|this is|the
2026-02-01 21:33:11,this is the worst 💀,this is the worst 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:27,this is bad for my health 💀,this is bad for my health 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:29,this is bad for my health 💀,this is bad for my health 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:30,this is bad for my health 💀,this is bad for my health 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:33,this is bad for my health 💀,this is bad for my health 💀 💀💀💀💀💀,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:48,i love these! 😍,i love these! 😍 😍😍😍😍😍,Positive,1,0.5713,High Ambiguity,love
2026-02-01 21:33:55,i hate these! 😍,i hate these! 😍 😍😍😍😍😍,Negative,0,0.5,High Ambiguity,
2026-02-01 21:33:57,i hate these! 😍,i hate these! 😍 😍😍😍😍😍,Negative,0,0.5,High Ambiguity,
2026-02-01 21:34:01,you suck,you suck ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:34:04,you suck,you suck ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:34:36,i hate thi,i hate thi ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:34:39,i love this,i love this ,Positive,1,0.5713,High Ambiguity,love
2026-02-01 21:34:43,this sucks,this sucks ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:02,this is the best ever! ,this is the best ever!  ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:03,this is the best ever! ,this is the best ever!  ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:04,this is the best ever! ,this is the best ever!  ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:12,this is making me cru,this is making me cru ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:14,this is making me cry,this is making me cry ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:46,this is great! ,this is great!  ,Positive,1,0.8921,Clear Signal,great
2026-02-01 21:35:51,this is not great,this is not great ,Positive,1,0.8921,Clear Signal,great
2026-02-01 21:35:53,this is not great ,this is not great  ,Positive,1,0.8921,Clear Signal,great
2026-02-01 21:35:56,no,no ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:35:59,none,none ,Negative,0,0.5,High Ambiguity,
2026-02-01 21:36:05,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:06,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:07,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:08,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:08,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:08,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:09,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:09,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:09,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:36:10,this is not good,this is not good ,Positive,1,0.77,Clear Signal,good
2026-02-01 21:37:14,this is not good,this is not good ,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-01 21:37:32,this is not good ❌,this is not good ❌ ❌❌❌❌❌,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-01 21:37:39,this is not good 💀,this is not good 💀 💀💀💀💀💀,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-01 21:37:39,this is not good 💀,this is not good 💀 💀💀💀💀💀,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-01 21:37:40,this is not good 💀,this is not good 💀 💀💀💀💀💀,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-01 21:37:40,this is not good 💀,this is not good 💀 💀💀💀💀💀,Positive,1,0.5219,High Ambiguity,good|is|not
2026-02-02 15:23:50,i'm hurt,i'm hurt ,Negative,0,0.5,High Ambiguity,
2026-02-02 15:23:51,i'm hurt,i'm hurt ,Negative,0,0.5,High Ambiguity,
2026-02-02 15:23:52,i'm hurt,i'm hurt ,Negative,0,0.5,High Ambiguity,
2026-02-02 15:24:10,you're not going to my gig,you're not going to my gig ,Positive,1,0.5271,High Ambiguity,re|you|my
2026-02-02 15:24:25,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:26,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:28,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:30,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:30,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:30,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:30,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:37,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-02 15:24:39,you're not going to his gig,you're not going to his gig ,Positive,1,0.5951,Clear Signal,re|you|going
2026-02-08 17:34:06,i love you baby,,Positive,1,0.5535,High Ambiguity,love(-0.1505)|baby(-0.1366)|you(-0.1043)
2026-02-08 17:34:21,i hate you baby,,Positive,1,0.558,High Ambiguity,baby(-0.1366)|you(-0.1043)|hate(0.0173)
2026-02-08 18:15:39,i love you baby,,Positive,1,0.7215,Clear Signal,word_pos_count(0.9037)|love(-0.4604)|you(-0.1388)
2026-02-08 18:16:38,i hate you baby,,Negative,0,0.9762,Clear Signal,word_neg_count(-4.1666)|hate(0.3483)|you(-0.1388)
2026-02-08 18:16:49,this project is awesome,,Positive,1,0.7471,Clear Signal,word_pos_count(0.9037)|awesome(-0.1892)|is(0.0335)
2026-02-08 18:17:04,the bags are awful,,Negative,0,0.9868,Clear Signal,word_neg_count(-4.1666)|are(-0.3761)|the(-0.2424)
2026-02-08 18:17:17,today was okay 😊,,Positive,1,0.7867,Clear Signal,emoji_pos_count(1.2235)|was(-0.5843)|okay(0.129)
2026-02-08 18:17:32,today was okay 😭,,Negative,0,0.586,Clear Signal,was(-0.5843)|emoji_neg_count(-0.4288)|okay(0.129)
2026-02-08 18:17:42,everything is fine 😒,,Positive,1,0.5304,High Ambiguity,emoji_neg_count(-0.4288)|everything(0.2617)|is(0.0335)
2026-02-08 18:17:59,i love having bugs 😊,,Positive,1,0.8581,Clear Signal,emoji_pos_count(1.2235)|word_pos_count(0.9037)|love(-0.4604)
2026-02-08 18:18:07,i love having bugs 😭,,Positive,1,0.5368,High Ambiguity,word_pos_count(0.9037)|love(-0.4604)|having(-0.4423)
2026-02-08 18:18:14,"great, another meeting 😧",,Positive,1,0.7818,Clear Signal,word_pos_count(0.9037)|emoji_neg_count(-0.4288)|great(0.4119)
2026-02-08 18:18:24,the table is brown,,Positive,1,0.5435,High Ambiguity,the(-0.2424)|is(0.0335)
2026-02-08 18:18:35,i am going to the store,,Positive,1,0.5853,Clear Signal,going(-0.2878)|to(-0.2632)|the(-0.2424)
